"id";"es_clon";"division";"eval_instructor";"eval_capitan";"eval_comandante";"eval_general";"estatura";"peso";"imc";"velocidad";"fuerza";"resistencia";"agilidad";"armadura";"presicion";"eficiencia"
199;"N";"Snowtrooper";650,44;653,93;651,15;653,7;195,09;102,22;26,86;59,91;70,33;82,32;92,67;31,19;47,35;44,37
200;"N";"Snowtrooper";657,11;662,12;648,57;659,05;194,94;93,84;24,69;60,12;69,71;80,16;91,72;45,09;42,87;62,4
201;"N";"Lavatrooper";648,88;656,52;659,87;651,32;195,03;96,82;25,45;68,06;70,41;83,66;89,01;36,19;55,32;65,31
202;"N";"Lavatrooper";657,71;644,37;669,04;650,23;195,03;92,34;24,28;67,44;68,69;79,24;81,86;60,92;54,2;13,46
203;"S";"Lavatrooper";648,35;650,88;658,14;650,99;194,99;101,84;26,79;79,82;67,16;83,96;93,71;49,06;48,71;27,99
204;"S";"Lavatrooper";654,93;658,48;659,82;648,35;195,06;102,91;27,05;76,74;69,97;80,19;84,58;60,08;46,03;75,36
205;"S";"Lavatrooper";650,72;657,99;659,95;649,48;194,85;108,19;28,5;88,69;68,31;79,63;89,53;53,34;57,61;43,56
206;"N";"Lavatrooper";641,2;649,54;658,88;649,75;194,83;101,25;26,67;65,34;71;82,92;76,11;51,16;53,96;77,82
207;"S";"Lavatrooper";651,27;653,32;663,03;649,01;194,79;78,36;20,65;87,25;67,9;79,16;77,41;45,71;43,04;95,01
208;"N";"Lavatrooper";649,09;658,19;662,33;655,93;195,05;91,17;23,96;64,93;70,65;85,26;79,24;37,9;48,93;5,7
209;"N";"Lavatrooper";643,58;654,54;649,94;648,35;195,19;83,27;21,86;73,56;71,39;85,93;93,82;46,78;62,74;95,5
210;"N";"Lavatrooper";655,31;639,95;659,64;647,06;194,84;90,52;23,84;63,71;69,91;85,72;82,51;39,05;54,37;54,25
211;"N";"Lavatrooper";647,8;653,36;664,26;650,11;195,02;91,54;24,07;67,3;67,74;86,46;93,47;44,69;50,3;68,06
212;"S";"Lavatrooper";638,92;648,84;665,74;638,29;195,09;92,3;24,25;74,38;67,61;83,96;82,58;48,33;55,81;93,99
213;"S";"Lavatrooper";653,31;652,36;654,21;646,4;195,1;88,05;23,13;71,66;67,06;82,22;80,66;54,52;66,44;73,59
214;"N";"Lavatrooper";650,86;653,05;660,05;653;194,97;92,57;24,35;66,7;68,28;86,3;88,98;47,16;60,39;93,48
215;"N";"Lavatrooper";653,08;648,97;662,28;652,46;194,94;98,03;25,8;68,04;71,97;82,87;79,01;47,09;54,1;26,63
216;"N";"Lavatrooper";652,67;655,5;664,61;657,88;195,14;92,04;24,17;61,74;70,29;80,63;87,59;52,69;57,41;49,39
217;"N";"Lavatrooper";652,46;654,98;664,23;645,56;195,05;101,65;26,72;62,56;69,33;85,84;85,72;58,35;48,03;68,05
218;"N";"Lavatrooper";651,73;653,13;659,61;657,97;194,94;95,01;25;73,54;68,79;82,12;92,79;46,11;51,31;39,65
219;"S";"Lavatrooper";648,9;652,09;650,24;650,16;195,06;95,31;25,05;86,38;69,84;80,8;89,64;40,3;58,93;55,75
220;"S";"Lavatrooper";656,19;656,29;660,67;641,71;194,9;88,96;23,42;72,3;70,34;86,15;78,54;50,65;59,89;33,56
221;"S";"Lavatrooper";648,56;645,88;657,68;657,63;194,88;93,23;24,55;86,62;67,34;83,66;86,98;47,02;55,76;16,11
222;"S";"Lavatrooper";654,06;644,69;660,72;642,41;194,97;105,99;27,88;76,22;69,57;82,06;92,71;48,16;56,22;67,95
223;"N";"Lavatrooper";660,06;646,63;661,11;645,35;195,02;89,85;23,62;65,05;68,67;80,95;91,15;52,28;52,4;66,9
224;"S";"Lavatrooper";648,16;646,46;672,95;654,82;194,83;96,43;25,4;81,1;71,69;85,28;76,49;53,91;47,09;44,75
225;"N";"Lavatrooper";651,92;657,3;660,76;648,62;194,99;96,61;25,41;64,14;67,84;79,71;87,68;52,35;58,42;64,35
226;"S";"Lavatrooper";636,97;657,11;657,42;642,93;194,84;91,37;24,07;76,7;71,83;83,47;84,97;59,53;63,46;12,57
227;"S";"Lavatrooper";651,74;644,06;666,35;657,38;194,85;101,7;26,79;72,11;71,55;83,69;78,22;39,25;45,69;48,14
228;"S";"Lavatrooper";651,27;655,73;673,11;643,05;195,17;94,27;24,75;76,42;71,5;86,74;89,19;46,08;54,26;43,17
229;"S";"Lavatrooper";653;646,5;664,5;650,05;194,9;108,51;28,57;78,3;71,43;79,01;87,25;31,19;53,47;50,87
230;"N";"Lavatrooper";653,33;634,65;658,1;649,85;194,9;98,79;26,01;62,8;69,51;86,15;81;49,11;61,76;8,48
231;"S";"Lavatrooper";643,19;644,77;651,91;645,21;194,89;85,25;22,44;83,77;68,4;83,02;84,07;46,97;54,13;80,71
232;"S";"Lavatrooper";653,54;643,22;653,19;650,72;195;114,44;30,1;72,39;67,91;86,74;77,74;48,18;61,85;55,89
233;"N";"Lavatrooper";656,72;654,13;661,66;660,61;194,91;93,57;24,63;62,66;68,46;80,04;75,66;39,92;58,53;84,36
234;"N";"Lavatrooper";648,3;650,64;668,26;645,04;195,15;104,38;27,41;66,14;69,51;84,33;85,98;52,71;64,53;13,73
235;"N";"Lavatrooper";651,99;646,04;660,02;644,8;195,08;91,84;24,13;65,82;71,15;85,27;92,19;46,42;51,43;87,6
236;"N";"Lavatrooper";649,4;647,86;664,51;654,16;195,24;96,57;25,33;66,91;68,34;84,03;80,26;54,32;56,54;85,01
237;"N";"Lavatrooper";651,09;648,79;655,79;649,7;194,97;90,36;23,77;70,21;68,61;85,5;89,46;48,5;53,67;64,69
238;"S";"Lavatrooper";654,54;649,29;658,92;647,8;195,03;91,69;24,11;79,72;69,96;79,66;75,53;36,05;47,14;70,03
239;"N";"Lavatrooper";643,81;658,63;669,42;641,89;195,07;102,18;26,85;68,17;70,43;82,85;86,05;54,01;48,11;83,59
240;"S";"Lavatrooper";649,84;647,74;668,88;641,96;195,12;89,11;23,41;87,22;67,56;84,56;88,7;45,35;52,81;47,9
241;"S";"Lavatrooper";657,93;644,66;654,78;653,11;194,94;93,13;24,51;75,92;69,57;84,37;88,31;48,31;56,69;82,84
242;"N";"Lavatrooper";655,91;657,15;662,1;643,58;195,16;96,02;25,21;70,79;71,02;81,32;93,19;46,17;45,21;94,93
243;"S";"Lavatrooper";650,17;649,41;668,23;645,47;194,93;97,24;25,59;81,93;69,91;86,85;81,88;54,96;50,51;61,44
244;"S";"Lavatrooper";649,31;647,77;662,44;649,24;194,79;110,43;29,1;78,44;71,6;82,13;85,38;40,73;68,9;62,4
245;"S";"Lavatrooper";651,13;653,4;655,85;649,78;194,89;85,5;22,51;70,95;67,26;86,18;93,05;44,94;53,43;39,48
246;"S";"Lavatrooper";654,83;641,82;660,69;638,98;194,9;115,1;30,3;72,85;70,61;85,56;75,49;53,82;68,49;84,68
247;"S";"Lavatrooper";650,17;643,26;658,28;641,33;194,79;94,03;24,78;78,19;71,87;81,19;77,69;53,54;59,97;20,8
248;"S";"Lavatrooper";652,15;649,38;654,48;648,48;194,94;98,76;25,99;78,02;70,92;85,03;80,74;63,06;63,94;78,39
249;"S";"Lavatrooper";644,96;657,47;655,77;645,09;195,03;107,26;28,2;79,5;69,36;80,91;92,99;45,06;48,28;68,53
250;"N";"Lavatrooper";657,11;653,44;664,41;650,22;194,97;100,05;26,32;58,24;70,4;84,72;83,12;56,71;58,35;88,36
251;"N";"Lavatrooper";650,58;647,75;663,64;646,92;194,94;89,7;23,6;62,13;71,31;83,39;75,37;56,58;66,6;97,77
252;"N";"Lavatrooper";651,02;647,8;659,86;646,06;195,24;88,88;23,32;61,42;71,37;79,86;91,03;54,64;49;60,39
253;"N";"Lavatrooper";641,4;638,94;669,79;655,38;194,77;89,28;23,53;72,43;69,8;83,45;87,44;51,67;50,88;51,04
254;"S";"Lavatrooper";650,27;653,22;663,61;649,19;194,7;105,34;27,79;82,86;70,37;84,8;77,92;53,76;48,29;81,79
255;"S";"Lavatrooper";643,35;644,35;656,41;632,18;195,04;105,9;27,84;83,38;68,15;80,4;88,87;48,93;50,48;95,08
256;"S";"Lavatrooper";651,12;648,69;659,92;644,8;194,84;102,37;26,97;70,53;67,84;85,91;76,06;58,03;50,84;31,89
257;"N";"Lavatrooper";649,89;654,45;649,68;653,47;195,16;104,17;27,35;62,01;67,74;81,61;85,12;47,57;59,71;81,2
258;"S";"Lavatrooper";646,46;652,38;660,56;650,69;195,12;84,61;22,22;78,74;67,53;80,9;91,64;59,95;58,18;10,88
259;"S";"Lavatrooper";645,54;648,9;661,15;643,61;194,93;101,98;26,84;78,59;68,07;80,57;92,17;62,52;53,87;48,35
260;"N";"Lavatrooper";652,21;652,95;659,8;650,38;194,96;94,26;24,8;59,06;68,19;86,34;85,74;64,55;52,44;49,45
261;"N";"Lavatrooper";656,2;656,51;664,34;651,33;194,88;100,35;26,42;60,99;71,68;86,45;85,63;45,63;61,55;33,94
262;"S";"Lavatrooper";654,92;661,55;666,03;648,59;194,83;93,54;24,64;79,72;68,71;85,77;77,07;62,56;50,28;67,81
263;"S";"Lavatrooper";652,11;648,29;659,54;653,01;194,96;96,41;25,36;84,08;70,24;79,91;77,86;54,74;57,12;95,13
264;"N";"Lavatrooper";652,56;653,34;660,57;662,07;194,91;101,19;26,64;73,55;69,82;80,32;82,02;52,85;64,49;55,55
265;"S";"Lavatrooper";658,15;643,7;661,74;654,22;195,17;108,34;28,44;75,97;71,89;79,49;78,57;38,21;46,28;45,94
266;"S";"Lavatrooper";642,4;645,53;663,08;660,26;195,09;83,06;21,82;88,81;68,52;80,57;92,36;48,59;52,97;87,19
267;"S";"Lavatrooper";656,44;640,62;660;646,55;195,02;87,56;23,02;80,12;67,12;80,75;76,66;46,26;65,51;21,23
268;"S";"Lavatrooper";653,91;649,69;654,39;637,39;195,21;96,51;25,33;73,51;70,91;84,02;77,48;62,29;53,73;63,82
269;"N";"Lavatrooper";651,39;652,69;664;652,58;195,21;97,85;25,68;73,2;71,67;81,05;90,28;48,46;51,22;74,08
270;"N";"Lavatrooper";647,96;650,43;656,8;648,89;194,76;91,85;24,21;67,27;67,03;80,96;91,76;44,29;56,36;62,97
271;"S";"Lavatrooper";655,22;641,27;661,55;655,7;195,02;100,53;26,43;81,97;71,59;85,74;93,15;53,74;52,44;55,75
272;"S";"Lavatrooper";643,95;662,96;664,55;654,1;194,85;104,98;27,65;81,04;70,84;81,28;75,53;50,94;53,06;6,49
273;"S";"Lavatrooper";653,25;655,26;659,38;651,79;195,07;100,62;26,44;73,51;70,73;81,34;81,43;53,18;60,83;97,3
274;"S";"Lavatrooper";660,18;646,9;660,1;645,6;195;100,19;26,35;67,74;67,5;85,54;78,12;31,61;42;52,77
275;"N";"Lavatrooper";653,56;655,88;667,72;651,91;195,24;107,88;28,3;69,66;67,6;80,82;88,75;40,26;55,64;53,77
276;"S";"Lavatrooper";651,68;648,21;655,33;651,21;195;92,8;24,4;76,21;67,63;79;89,23;61,53;51,33;66,79
277;"N";"Lavatrooper";650,14;650,28;659,29;644,14;194,99;105,21;27,67;59,54;67,27;84,29;76,25;43,68;62,14;19,56
278;"N";"Lavatrooper";640,09;651,35;663,88;650,14;195,12;94,08;24,71;67,42;67,35;83,35;80,88;50,04;66,49;95,4
279;"N";"Lavatrooper";656,55;657,06;658,02;654,67;195,05;89,42;23,5;58,97;69,53;79,88;76,61;39,32;50,77;72,24
280;"N";"Lavatrooper";643,42;650,73;661,29;646,79;195,16;103,77;27,25;58,18;71,64;84,35;75;44,69;53,32;27,32
281;"S";"Lavatrooper";644,58;645,5;657,18;642,58;195,1;98,17;25,79;81,95;70,27;85,98;76,95;62,16;50,84;35,43
282;"S";"Lavatrooper";653,82;648,41;663,5;644,18;194,9;97,03;25,54;85,24;68,33;83,39;86,35;46,14;53,72;38,59
283;"S";"Lavatrooper";645,46;648,47;656,34;648,91;195,19;102,22;26,83;78,93;70,75;82,3;93,7;54,11;56,48;22,85
284;"N";"Lavatrooper";646,13;649,7;661,64;654,14;194,99;95,4;25,09;60,48;69,33;79,68;86,17;37,77;58,82;90,93
285;"N";"Lavatrooper";646,85;656,08;662,74;652,94;194,86;94,64;24,92;71,31;69;83,57;85,06;58,53;48,63;24,38
286;"S";"Lavatrooper";656,34;650,79;667,53;645,4;194,9;104,42;27,49;86,35;70,51;85,12;80,27;43,81;58,67;56,4
287;"S";"Lavatrooper";655,01;654,33;657,76;654,84;195,01;110,35;29,02;85,27;71,67;84,04;91,1;49,9;60,78;14,52
288;"N";"Lavatrooper";645,81;645,23;657,44;654,96;194,94;83,81;22,05;65,2;69,13;84,16;89,03;53,28;63,46;95,27
289;"N";"Lavatrooper";658,22;641,54;651,23;640,92;195,03;96,18;25,29;64,37;69,42;84,26;85,2;53,65;61,21;96,38
290;"S";"Lavatrooper";644,68;643,84;657,65;650,37;195,06;105,95;27,85;82,76;68,08;79,72;78,63;46,34;54,53;75,16
291;"N";"Lavatrooper";650,81;645,04;659,85;647,42;194,87;101,94;26,84;68,33;67,68;80,84;81,49;46,9;54,83;95,73
292;"N";"Lavatrooper";644,93;653,29;661,91;648,75;195,22;97,73;25,64;66,19;69,45;86,88;80,34;43,52;58,25;23,75
293;"S";"Lavatrooper";648,12;641,74;665,26;655,19;195,02;89,94;23,65;80,87;68;84,21;84,33;54,42;53,39;41,21
294;"N";"Lavatrooper";641,8;649,38;660,7;659,39;195,19;94,8;24,88;66,23;71,18;84,29;87,57;46,74;50,48;34,67
295;"N";"Lavatrooper";663,09;649,5;662,79;641,28;195,04;92,43;24,3;58,69;68,76;81,94;85,22;55,12;52,65;71,8
296;"N";"Lavatrooper";650,23;641,98;667,61;645,45;194,98;91;23,94;61,57;71,11;79,63;81,07;37,56;55,93;5,92
297;"N";"Lavatrooper";650,99;654,24;654,45;649,68;195,05;109,28;28,72;67,32;67,78;79,95;93,27;50,56;56,52;64,69
298;"S";"Lavatrooper";650,36;657,34;659,19;655,09;195,24;102,54;26,9;78,32;68,17;86,9;82,45;50,93;50,56;26,31
299;"N";"Lavatrooper";650,37;656,03;662,92;652,6;195,09;102,22;26,86;59,91;70,33;82,32;92,67;31,19;47,35;44,37
300;"N";"Lavatrooper";651,62;654,24;664,64;648,86;194,94;93,84;24,69;60,12;69,71;80,16;91,72;45,09;42,87;62,4
301;"N";"Shoretrooper";651,81;652,57;646,61;655,93;195,03;96,82;25,45;68,06;70,41;83,66;89,01;36,19;55,32;65,31
302;"N";"Shoretrooper";656,82;652,52;637,55;656,47;195,03;92,34;24,28;67,44;68,69;79,24;81,86;60,92;54,2;13,46
303;"S";"Shoretrooper";655,84;652,6;643,69;655,97;194,99;101,84;26,79;79,82;67,16;83,96;93,71;49,06;48,71;27,99
304;"S";"Shoretrooper";639,91;653,06;648,54;666,05;195,06;102,91;27,05;76,74;69,97;80,19;84,58;60,08;46,03;75,36
305;"S";"Shoretrooper";640,71;651,71;649,81;653,22;194,85;108,19;28,5;88,69;68,31;79,63;89,53;53,34;57,61;43,56
306;"N";"Shoretrooper";650,12;649,66;648,27;660,9;194,83;101,25;26,67;65,34;71;82,92;76,11;51,16;53,96;77,82
307;"S";"Shoretrooper";647,68;650,47;653,62;667,49;194,79;78,36;20,65;87,25;67,9;79,16;77,41;45,71;43,04;95,01
308;"N";"Shoretrooper";648,9;650,52;655,85;655,47;195,05;91,17;23,96;64,93;70,65;85,26;79,24;37,9;48,93;5,7
309;"N";"Shoretrooper";644,95;650,66;651,94;665,11;195,19;83,27;21,86;73,56;71,39;85,93;93,82;46,78;62,74;95,5
310;"N";"Shoretrooper";647,05;649,21;651,96;657,13;194,84;90,52;23,84;63,71;69,91;85,72;82,51;39,05;54,37;54,25
311;"N";"Shoretrooper";651,63;648,74;649,58;670,98;195,02;91,54;24,07;67,3;67,74;86,46;93,47;44,69;50,3;68,06
312;"S";"Shoretrooper";654,98;648,48;647,79;651,9;195,09;92,3;24,25;74,38;67,61;83,96;82,58;48,33;55,81;93,99
313;"S";"Shoretrooper";643,05;650,96;646,3;668,62;195,1;88,05;23,13;71,66;67,06;82,22;80,66;54,52;66,44;73,59
314;"N";"Shoretrooper";649;654,13;650,02;652,99;194,97;92,57;24,35;66,7;68,28;86,3;88,98;47,16;60,39;93,48
315;"N";"Shoretrooper";648,48;647,7;665,35;660,79;194,94;98,03;25,8;68,04;71,97;82,87;79,01;47,09;54,1;26,63
316;"N";"Shoretrooper";649,58;654,19;650,21;669,44;195,14;92,04;24,17;61,74;70,29;80,63;87,59;52,69;57,41;49,39
317;"N";"Shoretrooper";643;645,29;652,15;650,82;195,05;101,65;26,72;62,56;69,33;85,84;85,72;58,35;48,03;68,05
318;"N";"Shoretrooper";654,88;649,51;651,31;657,92;194,94;95,01;25;73,54;68,79;82,12;92,79;46,11;51,31;39,65
319;"S";"Shoretrooper";656,77;650,29;656,83;655,1;195,06;95,31;25,05;86,38;69,84;80,8;89,64;40,3;58,93;55,75
320;"S";"Shoretrooper";651,43;642,83;653,89;656,89;194,9;88,96;23,42;72,3;70,34;86,15;78,54;50,65;59,89;33,56
321;"S";"Shoretrooper";652,57;660,37;651,87;661,25;194,88;93,23;24,55;86,62;67,34;83,66;86,98;47,02;55,76;16,11
322;"S";"Shoretrooper";648,89;646,93;650,83;655,76;194,97;105,99;27,88;76,22;69,57;82,06;92,71;48,16;56,22;67,95
323;"N";"Shoretrooper";652,62;645,85;652,04;657,35;195,02;89,85;23,62;65,05;68,67;80,95;91,15;52,28;52,4;66,9
324;"S";"Shoretrooper";648,17;653,17;642,72;658,96;194,83;96,43;25,4;81,1;71,69;85,28;76,49;53,91;47,09;44,75
325;"N";"Shoretrooper";649,42;656,95;660,29;663,6;194,99;96,61;25,41;64,14;67,84;79,71;87,68;52,35;58,42;64,35
326;"S";"Shoretrooper";654,23;645,07;642,56;654,44;194,84;91,37;24,07;76,7;71,83;83,47;84,97;59,53;63,46;12,57
327;"S";"Shoretrooper";641,74;648,94;656,17;652,12;194,85;101,7;26,79;72,11;71,55;83,69;78,22;39,25;45,69;48,14
328;"S";"Shoretrooper";651,06;654,85;643,9;652,75;195,17;94,27;24,75;76,42;71,5;86,74;89,19;46,08;54,26;43,17
329;"S";"Shoretrooper";644,55;652,34;642,37;662,05;194,9;108,51;28,57;78,3;71,43;79,01;87,25;31,19;53,47;50,87
330;"N";"Shoretrooper";650,52;659,67;648,01;663,16;194,9;98,79;26,01;62,8;69,51;86,15;81;49,11;61,76;8,48
331;"S";"Shoretrooper";650,29;656,93;646,49;660,22;194,89;85,25;22,44;83,77;68,4;83,02;84,07;46,97;54,13;80,71
332;"S";"Shoretrooper";653,95;652,34;643,59;665,4;195;114,44;30,1;72,39;67,91;86,74;77,74;48,18;61,85;55,89
333;"N";"Shoretrooper";652,7;630,11;654,48;651,05;194,91;93,57;24,63;62,66;68,46;80,04;75,66;39,92;58,53;84,36
334;"N";"Shoretrooper";652,03;651,17;647,62;649,66;195,15;104,38;27,41;66,14;69,51;84,33;85,98;52,71;64,53;13,73
335;"N";"Shoretrooper";654,11;659,98;648,72;657,48;195,08;91,84;24,13;65,82;71,15;85,27;92,19;46,42;51,43;87,6
336;"N";"Shoretrooper";648,09;649,7;646,97;657,59;195,24;96,57;25,33;66,91;68,34;84,03;80,26;54,32;56,54;85,01
337;"N";"Shoretrooper";646,41;642,4;643,25;655,16;194,97;90,36;23,77;70,21;68,61;85,5;89,46;48,5;53,67;64,69
338;"S";"Shoretrooper";640,06;648,05;645,51;650,45;195,03;91,69;24,11;79,72;69,96;79,66;75,53;36,05;47,14;70,03
339;"N";"Shoretrooper";655,68;653,19;658,86;653,69;195,07;102,18;26,85;68,17;70,43;82,85;86,05;54,01;48,11;83,59
340;"S";"Shoretrooper";651;647,15;650,38;658,63;195,12;89,11;23,41;87,22;67,56;84,56;88,7;45,35;52,81;47,9
341;"S";"Shoretrooper";647,37;654,16;645,97;654,78;194,94;93,13;24,51;75,92;69,57;84,37;88,31;48,31;56,69;82,84
342;"N";"Shoretrooper";647,36;656,98;651,86;660,63;195,16;96,02;25,21;70,79;71,02;81,32;93,19;46,17;45,21;94,93
343;"S";"Shoretrooper";649,34;663,61;643,14;656,59;194,93;97,24;25,59;81,93;69,91;86,85;81,88;54,96;50,51;61,44
344;"S";"Shoretrooper";649,7;655,69;655,25;656,72;194,79;110,43;29,1;78,44;71,6;82,13;85,38;40,73;68,9;62,4
345;"S";"Shoretrooper";640,61;649,06;652,05;663,22;194,89;85,5;22,51;70,95;67,26;86,18;93,05;44,94;53,43;39,48
346;"S";"Shoretrooper";643,81;648,56;656,11;659,65;194,9;115,1;30,3;72,85;70,61;85,56;75,49;53,82;68,49;84,68
347;"S";"Shoretrooper";637;649,77;652,14;654,69;194,79;94,03;24,78;78,19;71,87;81,19;77,69;53,54;59,97;20,8
348;"S";"Shoretrooper";645,84;643,24;654,19;650,69;194,94;98,76;25,99;78,02;70,92;85,03;80,74;63,06;63,94;78,39
349;"S";"Shoretrooper";648,52;657,25;652,28;662,06;195,03;107,26;28,2;79,5;69,36;80,91;92,99;45,06;48,28;68,53
350;"N";"Shoretrooper";646,57;653,96;658,75;669,82;194,97;100,05;26,32;58,24;70,4;84,72;83,12;56,71;58,35;88,36
351;"N";"Shoretrooper";648,24;649,83;664,39;664,73;194,94;89,7;23,6;62,13;71,31;83,39;75,37;56,58;66,6;97,77
352;"N";"Shoretrooper";651,43;646,96;647,8;658,29;195,24;88,88;23,32;61,42;71,37;79,86;91,03;54,64;49;60,39
353;"N";"Shoretrooper";646,76;657,19;656,29;664,01;194,77;89,28;23,53;72,43;69,8;83,45;87,44;51,67;50,88;51,04
354;"S";"Shoretrooper";641,53;643,5;652,86;654,69;194,7;105,34;27,79;82,86;70,37;84,8;77,92;53,76;48,29;81,79
355;"S";"Shoretrooper";657,37;644,45;657,72;652,77;195,04;105,9;27,84;83,38;68,15;80,4;88,87;48,93;50,48;95,08
356;"S";"Shoretrooper";653,73;637,42;651,46;654,15;194,84;102,37;26,97;70,53;67,84;85,91;76,06;58,03;50,84;31,89
357;"N";"Shoretrooper";643,42;649,77;643,96;659,64;195,16;104,17;27,35;62,01;67,74;81,61;85,12;47,57;59,71;81,2
358;"S";"Shoretrooper";645,52;660,86;646,01;662,16;195,12;84,61;22,22;78,74;67,53;80,9;91,64;59,95;58,18;10,88
359;"S";"Shoretrooper";638,95;648,98;647,35;664,95;194,93;101,98;26,84;78,59;68,07;80,57;92,17;62,52;53,87;48,35
360;"N";"Shoretrooper";654,84;646,43;650,38;667,05;194,96;94,26;24,8;59,06;68,19;86,34;85,74;64,55;52,44;49,45
361;"N";"Shoretrooper";640,4;648,12;651,35;659,6;194,88;100,35;26,42;60,99;71,68;86,45;85,63;45,63;61,55;33,94
362;"S";"Shoretrooper";645,3;642,64;649,43;669,4;194,83;93,54;24,64;79,72;68,71;85,77;77,07;62,56;50,28;67,81
363;"S";"Shoretrooper";644,36;646,18;655,09;650,87;194,96;96,41;25,36;84,08;70,24;79,91;77,86;54,74;57,12;95,13
364;"N";"Shoretrooper";648,66;655,54;644,71;661,31;194,91;101,19;26,64;73,55;69,82;80,32;82,02;52,85;64,49;55,55
365;"S";"Shoretrooper";643,12;650,04;661,4;657,88;195,17;108,34;28,44;75,97;71,89;79,49;78,57;38,21;46,28;45,94
366;"S";"Shoretrooper";644,5;651,36;655,02;655,05;195,09;83,06;21,82;88,81;68,52;80,57;92,36;48,59;52,97;87,19
367;"S";"Shoretrooper";652,47;652,21;646,07;664,42;195,02;87,56;23,02;80,12;67,12;80,75;76,66;46,26;65,51;21,23
368;"S";"Shoretrooper";639,03;652,66;653,41;663,47;195,21;96,51;25,33;73,51;70,91;84,02;77,48;62,29;53,73;63,82
369;"N";"Shoretrooper";652,78;649,97;651,61;663,35;195,21;97,85;25,68;73,2;71,67;81,05;90,28;48,46;51,22;74,08
370;"N";"Shoretrooper";647,97;640,71;650,41;661,15;194,76;91,85;24,21;67,27;67,03;80,96;91,76;44,29;56,36;62,97
371;"S";"Shoretrooper";654,63;641,14;650,46;660,29;195,02;100,53;26,43;81,97;71,59;85,74;93,15;53,74;52,44;55,75
372;"S";"Shoretrooper";649,91;649,64;647,05;660,51;194,85;104,98;27,65;81,04;70,84;81,28;75,53;50,94;53,06;6,49
373;"S";"Shoretrooper";652,23;661,44;652,72;655,5;195,07;100,62;26,44;73,51;70,73;81,34;81,43;53,18;60,83;97,3
374;"S";"Shoretrooper";650,82;652,14;644,5;660,49;195;100,19;26,35;67,74;67,5;85,54;78,12;31,61;42;52,77
375;"N";"Shoretrooper";646,07;656,11;664,37;662,84;195,24;107,88;28,3;69,66;67,6;80,82;88,75;40,26;55,64;53,77
376;"S";"Shoretrooper";649,58;660,11;655,22;658,8;195;92,8;24,4;76,21;67,63;79;89,23;61,53;51,33;66,79
377;"N";"Shoretrooper";658,81;640,53;651,36;658,86;194,99;105,21;27,67;59,54;67,27;84,29;76,25;43,68;62,14;19,56
378;"N";"Shoretrooper";641,71;652,79;657,27;663,59;195,12;94,08;24,71;67,42;67,35;83,35;80,88;50,04;66,49;95,4
379;"N";"Shoretrooper";646,86;645,02;650,3;653,7;195,05;89,42;23,5;58,97;69,53;79,88;76,61;39,32;50,77;72,24
380;"N";"Shoretrooper";650,09;649,29;654;658,51;195,16;103,77;27,25;58,18;71,64;84,35;75;44,69;53,32;27,32
381;"S";"Shoretrooper";659,09;649,15;645,68;664,24;195,1;98,17;25,79;81,95;70,27;85,98;76,95;62,16;50,84;35,43
382;"S";"Shoretrooper";650,38;636,34;656,4;657,09;194,9;97,03;25,54;85,24;68,33;83,39;86,35;46,14;53,72;38,59
383;"S";"Shoretrooper";644,21;646,55;651,47;663,4;195,19;102,22;26,83;78,93;70,75;82,3;93,7;54,11;56,48;22,85
384;"N";"Shoretrooper";653,33;645,03;644,63;659,48;194,99;95,4;25,09;60,48;69,33;79,68;86,17;37,77;58,82;90,93
385;"N";"Shoretrooper";658,94;650,78;648,44;658,26;194,86;94,64;24,92;71,31;69;83,57;85,06;58,53;48,63;24,38
386;"S";"Shoretrooper";646,15;643,25;649,69;663,89;194,9;104,42;27,49;86,35;70,51;85,12;80,27;43,81;58,67;56,4
387;"S";"Shoretrooper";652,86;653,58;651,02;653,89;195,01;110,35;29,02;85,27;71,67;84,04;91,1;49,9;60,78;14,52
388;"N";"Shoretrooper";643,41;652,28;650,53;667,52;194,94;83,81;22,05;65,2;69,13;84,16;89,03;53,28;63,46;95,27
389;"N";"Shoretrooper";638,11;649,61;650,74;655,8;195,03;96,18;25,29;64,37;69,42;84,26;85,2;53,65;61,21;96,38
390;"S";"Shoretrooper";662,35;654,35;650,88;668,24;195,06;105,95;27,85;82,76;68,08;79,72;78,63;46,34;54,53;75,16
391;"N";"Shoretrooper";643,51;643,53;643,23;655,04;194,87;101,94;26,84;68,33;67,68;80,84;81,49;46,9;54,83;95,73
392;"N";"Shoretrooper";646,35;656,34;656,09;671,42;195,22;97,73;25,64;66,19;69,45;86,88;80,34;43,52;58,25;23,75
393;"S";"Shoretrooper";638,25;662,49;648,47;667,56;195,02;89,94;23,65;80,87;68;84,21;84,33;54,42;53,39;41,21
394;"N";"Shoretrooper";652,94;656,41;645,64;660,4;195,19;94,8;24,88;66,23;71,18;84,29;87,57;46,74;50,48;34,67
395;"N";"Shoretrooper";642,36;654,07;648,62;662,33;195,04;92,43;24,3;58,69;68,76;81,94;85,22;55,12;52,65;71,8
396;"N";"Shoretrooper";657,23;642,57;659,59;668,25;194,98;91;23,94;61,57;71,11;79,63;81,07;37,56;55,93;5,92
397;"N";"Shoretrooper";646,44;650,59;644,97;665,63;195,05;109,28;28,72;67,32;67,78;79,95;93,27;50,56;56,52;64,69
